Product Name,Short Description,Description,Category,Subcategory,Brand,SKU,Barcode,Price (INR),Compare At Price (MRP),Cost Price,GST Rate (%),HSN Code,Stock,Weight (grams),Unit,Shipping Weight (g),Min Order Qty,Max Order Qty,Country of Origin,Shelf Life,Best Before,Ingredients,Allergens,Certifications,Is Organic,Is Vegan,Is Gluten Free,Manufacturer,Tags,Product Type,Meta Title,Meta Description,Video URL,Visibility,Image URLs,Happilo Handle
Happilo Roasted & Salted Iranian Pistachios 200g,"Premium Iranian pistachios, roasted and salted, rich in healthy fats","Happilo's Roasted & Salted Iranian Pistachios are sourced from the finest Iranian orchards. Roasted and lightly salted to bring out their natural flavour. Rich in protein, fibre and healthy fats.",Nuts,Pistachios,Happilo,HAP-PST-200,,355,449,270,5,0802,100,200,g,220,1,10,India,12 months,,"Pistachios, Salt",Tree Nuts,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"pistachios,pista,iranian pista,nuts,roasted",nuts,Buy Happilo Roasted Salted Iranian Pistachios 200g,"Premium Iranian pistachios, roasted and salted. Rich in protein and healthy fats.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778917966/lotusmart/products/happilo/hap-pst-200.jpg,happilo-premium-international-nuts-berries
Happilo Roasted & Salted Iranian Pistachios 500g,"Premium Iranian pistachios 500g, roasted and salted, gluten-free","Happilo's Roasted & Salted Iranian Pistachios 500g value pack. Sourced from finest Iranian orchards. Rich in protein, fibre and healthy fats. Gluten-free.",Nuts,Pistachios,Happilo,HAP-PST-500,,792,990,600,5,0802,100,500,g,520,1,10,India,12 months,,"Pistachios, Salt",Tree Nuts,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"pistachios,pista,500g,value pack,nuts",nuts,Buy Happilo Roasted Iranian Pistachios 500g Value Pack,"500g premium Iranian pistachios, roasted and salted. Non-GMO, gluten-free.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778917968/lotusmart/products/happilo/hap-pst-500.jpg,happilo-premium-international-nuts-berries
Happilo Roasted & Salted Californian Pistachios 200g,"Premium California pistachios, roasted and salted, naturally flavourful","Happilo's Roasted & Salted Californian Pistachios are sourced from California. Rich flavour, crunchy texture. High in protein and fibre. Gluten-free.",Nuts,Pistachios,Happilo,HAP-PST-CAL-200,,399,499,305,5,0802,100,200,g,220,1,10,India,12 months,,"Pistachios, Salt",Tree Nuts,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"pistachios,california pista,nuts,roasted,salted",nuts,Buy Happilo Roasted Californian Pistachios 200g,"Premium California pistachios, roasted and salted. Gluten-free, no preservatives.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778917970/lotusmart/products/happilo/hap-pst-cal-200.jpg,california-roasted-salted-pistachios
Happilo 100% Natural Deluxe Kashmiri Walnut Kernels 200g,"Premium Kashmiri walnut kernels, rich in Omega-3, gluten-free","Happilo's Deluxe Kashmiri Walnut Kernels are sourced from the Kashmir Valley. Rich in Omega-3 fatty acids, antioxidants and protein. Natural, no preservatives, non-GMO.",Nuts,Walnuts,Happilo,HAP-WLN-200,,449,599,345,5,0802,100,200,g,220,1,10,India,12 months,,Walnuts,Tree Nuts,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"walnuts,akhrot,kashmiri walnuts,omega 3,nuts",nuts,Buy Happilo Kashmiri Walnut Kernels 200g,"Premium Kashmiri walnut kernels. Rich in Omega-3, antioxidants, gluten-free.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778917972/lotusmart/products/happilo/hap-wln-200.jpg,kashmiri-deluxe-walnut-kernels
Happilo 100% Natural Deluxe Kashmiri Walnut Kernels 500g,"Premium Kashmiri walnut kernels 500g, rich in Omega-3, gluten-free","Happilo's Deluxe Kashmiri Walnut Kernels 500g. Sourced from the Kashmir Valley. Rich in Omega-3 fatty acids, antioxidants and protein.",Nuts,Walnuts,Happilo,HAP-WLN-500,,999,1299,760,5,0802,100,500,g,520,1,10,India,12 months,,Walnuts,Tree Nuts,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"walnuts,akhrot,500g,omega 3,kashmiri nuts",nuts,Buy Happilo Kashmiri Walnut Kernels 500g,500g premium Kashmiri walnut kernels. Rich in Omega-3 and antioxidants.,,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778917974/lotusmart/products/happilo/hap-wln-500.jpg,kashmiri-deluxe-walnut-kernels
Happilo 100% Natural Californian Walnut Kernels 200g,"Premium California walnut kernels, rich in Omega-3 and antioxidants","Happilo's Californian Walnut Kernels sourced from California. Rich in Omega-3 fatty acids, protein and antioxidants. Gluten-free, non-GMO.",Nuts,Walnuts,Happilo,HAP-WLN-CAL-200,,399,499,305,5,0802,100,200,g,220,1,10,India,12 months,,Walnuts,Tree Nuts,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"walnuts,california walnuts,omega 3,nuts,akhrot",nuts,Buy Happilo Californian Walnut Kernels 200g,"Premium California walnut kernels. Rich in Omega-3, gluten-free.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778917977/lotusmart/products/happilo/hap-wln-cal-200.png,natural-californian-walnut-kernels
Happilo Premium International Exotic Brazil Nuts 200g,"Premium Brazil nuts, rich in selenium and healthy fats, gluten-free","Happilo's Premium Brazil Nuts are sourced internationally. Naturally rich in selenium, healthy fats and protein. One of the best dietary sources of selenium. Gluten-free, non-GMO.",Nuts,Brazil Nuts,Happilo,HAP-BRZ-200,,499,649,380,5,0802,100,200,g,220,1,10,India,12 months,,Brazil Nuts,Tree Nuts,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"brazil nuts,selenium,exotic nuts,healthy fats",nuts,Buy Happilo Premium Brazil Nuts 200g,"Premium Brazil nuts rich in selenium and healthy fats. Gluten-free, non-GMO.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918301/lotusmart/products/happilo/hap-brz-200.png,happilo-premium-international-exotic-brazil-nuts
Happilo Premium All Natural Fox Nuts Phool Makhana 100g,"Crispy roasted fox nuts (makhana), high protein, low fat, gluten-free","Happilo's Premium Fox Nuts (Phool Makhana) are naturally dried and crispy. High in protein, low in fat and calories. A perfect guilt-free snack. Gluten-free, non-GMO.",Nuts,Fox Nuts,Happilo,HAP-MKH-100,,199,249,150,5,1008,100,100,g,120,1,10,India,12 months,,Fox Nuts (Makhana),,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"makhana,fox nuts,phool makhana,healthy snack,low fat",nuts,Buy Happilo Premium Fox Nuts Makhana 100g,"Crispy roasted fox nuts, high protein, low fat. Gluten-free healthy snack.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778917982/lotusmart/products/happilo/hap-mkh-100.jpg,happilo-premium-all-natural-fox-nuts-phool-makhana-100g-healthy-snack-low-calorie-gluten-free-and-vegan
Happilo Premium Seedless Green Raisins 250g,"Premium seedless green raisins, naturally sweet, rich in iron and calcium","Happilo's Premium Seedless Green Raisins are naturally sweet and juicy. Rich in iron, calcium, potassium and antioxidants. No added sugar, no preservatives.",Dried Fruits,Raisins,Happilo,HAP-RSN-GRN-250,,165,210,125,5,0806,100,250,g,270,1,10,India,12 months,,Green Raisins (Kishmish),,"FSSAI,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"raisins,kishmish,green raisins,dry fruits,iron",dried_fruit,Buy Happilo Premium Seedless Green Raisins 250g,"Premium seedless green raisins, naturally sweet, rich in iron and calcium.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778917985/lotusmart/products/happilo/hap-rsn-grn-250.jpg,happilo-premium-seedless-green-raisins
Happilo Premium Seedless Green Raisins 500g,"Premium seedless green raisins 500g, naturally sweet, no preservatives","Happilo's Premium Seedless Green Raisins 500g. Naturally sweet and juicy, rich in iron, calcium and antioxidants. No added sugar, no preservatives.",Dried Fruits,Raisins,Happilo,HAP-RSN-GRN-500,,299,399,228,5,0806,100,500,g,520,1,10,India,12 months,,Green Raisins,,"FSSAI,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"raisins,kishmish,500g,dry fruits,green raisins",dried_fruit,Buy Happilo Green Raisins 500g Value Pack,"500g premium seedless green raisins. Naturally sweet, no preservatives.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918312/lotusmart/products/happilo/hap-rsn-grn-500.jpg,happilo-premium-seedless-green-raisins
Happilo Premium Afghani Seedless Black Raisins 250g,"Premium Afghani black raisins, seedless, naturally sweet, rich in antioxidants","Happilo's Premium Afghani Seedless Black Raisins are sourced from Afghanistan. Naturally sweet and rich in antioxidants, iron and fibre. No added sugar.",Dried Fruits,Raisins,Happilo,HAP-RSN-BLK-250,,225,299,172,5,0806,100,250,g,270,1,10,India,12 months,,Black Raisins,,"FSSAI,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"black raisins,kali kishmish,afghani raisins,dry fruits",dried_fruit,Buy Happilo Afghani Seedless Black Raisins 250g,"Premium Afghani black raisins, seedless, naturally sweet, antioxidant-rich.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778917995/lotusmart/products/happilo/hap-rsn-blk-250.jpg,happilo-premium-seedless-afghani-black-raisins
Happilo Premium Natural Dried Anjeer (Figs) 200g,"Premium dried figs (anjeer), naturally sweet, rich in fibre and calcium","Happilo's Premium Dried Anjeer (Figs) are sun-dried and naturally sweet. Rich in dietary fibre, calcium and iron. Great for digestion and bone health. No added sugar.",Dried Fruits,Anjeer,Happilo,HAP-ANJ-200,,299,399,228,5,0804,100,200,g,220,1,10,India,12 months,,Dried Figs (Anjeer),,"FSSAI,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"anjeer,figs,dried figs,dry fruits,fibre,calcium",dried_fruit,Buy Happilo Premium Dried Anjeer Figs 200g,"Premium natural dried anjeer, rich in fibre and calcium. No added sugar.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918318/lotusmart/products/happilo/hap-anj-200.jpg,happilo-premium-dried-afghani-anjeer
Happilo Premium Natural Dried Anjeer (Figs) 500g,"Premium dried figs 500g value pack, naturally sweet, rich in fibre","Happilo's Premium Dried Anjeer (Figs) 500g. Sun-dried, naturally sweet, rich in dietary fibre, calcium and iron. No added sugar, no preservatives.",Dried Fruits,Anjeer,Happilo,HAP-ANJ-500,,649,849,495,5,0804,100,500,g,520,1,10,India,12 months,,Dried Figs,,"FSSAI,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"anjeer,figs,500g,dry fruits,fibre",dried_fruit,Buy Happilo Premium Dried Figs Anjeer 500g,"500g premium dried anjeer figs. Naturally sweet, rich in fibre. No preservatives.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918321/lotusmart/products/happilo/hap-anj-500.jpg,happilo-premium-dried-afghani-anjeer
Happilo Premium Dried Californian Pitted Prunes 200g,"Premium California pitted prunes, naturally sweet, rich in fibre and iron","Happilo's Premium Californian Pitted Prunes are sourced from California. Naturally sweet, seedless and ready to eat. Rich in dietary fibre, iron and antioxidants. Great for digestion.",Dried Fruits,Apricots,Happilo,HAP-PRN-200,,249,329,190,5,0813,100,200,g,220,1,10,India,12 months,,Pitted Prunes,,"FSSAI,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"prunes,dried prunes,california prunes,dry fruits,fibre",dried_fruit,Buy Happilo Premium Californian Pitted Prunes 200g,"Premium California pitted prunes, naturally sweet, rich in fibre and iron.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918002/lotusmart/products/happilo/hap-prn-200.jpg,happilo-premium-dried-californian-pitted-prunes
Happilo Premium Dried Turkish Apricots 200g,"Premium Turkish dried apricots, naturally sweet, rich in beta-carotene","Happilo's Premium Dried Turkish Apricots are sourced from Turkey. Naturally sweet, soft and chewy. Rich in beta-carotene, Vitamin A, fibre and potassium.",Dried Fruits,Apricots,Happilo,HAP-APR-200,,249,329,190,5,0813,100,200,g,220,1,10,India,12 months,,Dried Apricots,Sulphites,"FSSAI,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"apricots,khurmani,dried apricots,turkish apricots,dry fruits",dried_fruit,Buy Happilo Premium Dried Turkish Apricots 200g,"Premium Turkish dried apricots, naturally sweet, rich in Vitamin A and beta-carotene.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918327/lotusmart/products/happilo/hap-apr-200.jpg,premium-turkish-apricots
Happilo Premium Californian Dried Whole Cranberries 200g,"Premium dried cranberries, naturally sweet-tart, rich in antioxidants","Happilo's Premium Dried Whole Cranberries. Naturally sweet-tart flavour. Rich in antioxidants, Vitamin C and fibre. Perfect for snacking, baking and salads.",Dried Fruits,Cranberries,Happilo,HAP-CRN-200,,249,329,190,5,0813,100,200,g,220,1,10,India,12 months,,"Cranberries, Sugar",,"FSSAI,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"cranberries,dried berries,antioxidants,dry fruits",dried_fruit,Buy Happilo Premium Dried Cranberries 200g,"Premium dried whole cranberries, rich in antioxidants and Vitamin C.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918007/lotusmart/products/happilo/hap-crn-200.jpg,californian-whole-cranberries-dried-fruit-sweet
Happilo Healthy & Sweet Californian Dried Mango 200g,"Premium dried mango slices, naturally sweet, no added sugar",Happilo's Dried Mango slices are made from premium Californian mangoes. Naturally sweet with no added sugar or preservatives. Rich in Vitamin C and fibre.,Dried Fruits,Mango,Happilo,HAP-MNG-200,,229,299,175,5,0804,100,200,g,220,1,10,India,12 months,,Dried Mango,,"FSSAI,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"dried mango,mango slices,california mango,dry fruits",dried_fruit,Buy Happilo Dried Californian Mango 200g,"Premium dried mango slices, naturally sweet, no added sugar, rich in Vitamin C.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918009/lotusmart/products/happilo/hap-mng-200.jpg,happilo-premium-international-nuts-berries
Happilo Premium Dried Blueberries 150g,"Premium dried blueberries, rich in antioxidants and Vitamin C","Happilo's Premium Dried Blueberries are a delicious and nutritious berry snack. Loaded with antioxidants, Vitamin C and fibre. Perfect for snacking, oatmeal and baking.",Berries,Blueberries,Happilo,HAP-BLB-150,,299,399,228,5,0810,100,150,g,170,1,10,India,12 months,,"Blueberries, Sugar",,"FSSAI,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"blueberries,dried berries,antioxidants,superfoods",dried_fruit,Buy Happilo Premium Dried Blueberries 150g,"Premium dried blueberries, loaded with antioxidants and Vitamin C.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918349/lotusmart/products/happilo/hap-blb-150.jpg,happilo-premium-international-nuts-berries
Happilo Premium Californian Dried Whole Cranberries 200g,"Premium dried cranberries, sweet-tart flavour, rich in antioxidants","Happilo's Premium Dried Whole Cranberries. Sweet-tart flavour, rich in antioxidants, Vitamin C and fibre. Great for snacking, baking and salads.",Berries,Cranberries,Happilo,HAP-CRN-BRY-200,,249,329,190,5,0810,100,200,g,220,1,10,India,12 months,,"Cranberries, Sugar",,"FSSAI,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"cranberries,dried cranberries,berries,antioxidants",dried_fruit,Buy Happilo Premium Dried Cranberries 200g,"Premium whole dried cranberries, rich in antioxidants. Great for snacking and baking.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918015/lotusmart/products/happilo/hap-crn-bry-200.jpg,californian-whole-cranberries-dried-fruit-sweet
Happilo Premium Dried Californian Sliced Dried Cranberries 200g,"Premium sliced dried cranberries, sweet-tart, antioxidant-rich","Happilo's Sliced Dried Cranberries in a convenient sliced format. Rich in antioxidants and Vitamin C. Perfect for topping oatmeal, salads and baked goods.",Berries,Cranberries,Happilo,HAP-CRN-SLC-200,,229,299,175,5,0810,100,200,g,220,1,10,India,12 months,,"Cranberries, Sugar",,"FSSAI,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"sliced cranberries,berries,antioxidants,toppings",dried_fruit,Buy Happilo Sliced Dried Cranberries 200g,"Premium sliced dried cranberries, antioxidant-rich. Perfect for toppings.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918018/lotusmart/products/happilo/hap-crn-slc-200.jpg,happilo-premium-californian-sliced-cranberries-dried-sweet
Happilo Premium Dried Strawberries 150g,"Premium dried strawberries, naturally sweet, rich in Vitamin C",Happilo's Premium Dried Strawberries are naturally sweet and packed with Vitamin C and antioxidants. Perfect for snacking or adding to cereals and desserts.,Berries,Strawberries,Happilo,HAP-STR-150,,249,329,190,5,0810,100,150,g,170,1,10,India,12 months,,"Strawberries, Sugar",,"FSSAI,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"strawberries,dried strawberries,berries,vitamin c",dried_fruit,Buy Happilo Premium Dried Strawberries 150g,"Premium dried strawberries, naturally sweet, rich in Vitamin C and antioxidants.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918020/lotusmart/products/happilo/hap-str-150.jpg,happilo-premium-international-dried-tropical-fruit-medley
Happilo Premium Raw Authentic Chia Seeds 200g,"Premium raw chia seeds, rich in Omega-3, fibre and protein","Happilo's Premium Raw Chia Seeds are a superfood packed with Omega-3 fatty acids, dietary fibre and plant protein. Easy to add to smoothies, oatmeal and drinks. Non-GMO, gluten-free.",Seeds,Chia,Happilo,HAP-CHI-200,,199,259,152,5,1207,100,200,g,220,1,10,India,12 months,,Chia Seeds,,"FSSAI,Non-GMO,Gluten Free",Yes,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"chia seeds,omega 3,superfood,seeds,protein",seeds,Buy Happilo Premium Raw Chia Seeds 200g,"Premium raw chia seeds, superfood rich in Omega-3, fibre and protein.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918023/lotusmart/products/happilo/hap-chi-200.jpg,happilo-premium-raw-authentic-chia-seeds-jar-1000g-200g-free
